turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
52,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,44,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,87,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,-1,-1,75,0,2,4,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,50,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,71,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,0,2,430,121
53,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,44,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,-1,-1,75,0,2,4,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,27,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,71,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,0,2,405,98
54,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,57,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,-1,-1,75,0,2,1,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,21,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,71,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,0,6,418,92
55,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,-1,-1,75,0,2,1,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,46,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,2,400,46
56,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,-1,-1,69,0,2,5,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,96,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,10,394,96
57,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,318,-1,54,0,2,5,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,96,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,3,379,96
58,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,318,-1,39,0,2,5,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,91,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,1,364,91
59,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,318,-1,80,0,2,5,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,91,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,3,405,91
60,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,318,-1,69,0,2,5,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,88,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,1,394,88
61,12.74404,2,16,18,18,88,87,114,84,112,23,717,641,403,-1,-1,95,234,0,1.9624,2,8,18,18,93,105,116,86,73,43,595,414,194,-1,-1,39,0,6,20.69628,2,2,18,18,85,65,125,70,120,31,600,641,-1,-1,-1,93,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,583,-1,-1,-1,36,0,0,3.0244,1,9,18,18,106,95,95,91,91,90,806,421,628,-1,-1,62,0,0,13.61024,17,13,18,18,70,63,118,100,120,43,486,854,704,318,-1,69,0,2,5,4.01108,0,9,18,18,63,96,76,46,60,60,194,262,414,217,-1,0,0,2,19.19672,2,8,18,18,61,76,176,38,108,21,729,806,194,600,-1,0,0,2,14.38028,17,16,18,18,83,66,131,105,126,60,486,318,704,-1,-1,88,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,854,329,856,528,-1,0,0,2,5.55928,3,10,18,18,86,90,81,126,96,106,835,794,759,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,825,812,75,-1,-1,0,0,6,2,1,394,88
